"","case","t","time","name","d","R0"
"1",17178.8,82,2022-05-21,"shanghai",2942.99,"R0=3"
"2",115890,97,2022-06-05,"shanghai",17102.6,"R0=3"
"3",370464,108,2022-06-16,"shanghai",31837.8,"R0=3"
"4",27028.8,59,2022-04-28,"shanghai",7506.74,"R0=4"
"5",168712,69,2022-05-08,"shanghai",39403.3,"R0=4"
"6",502865,76,2022-05-15,"shanghai",69609.2,"R0=4"
"7",25191.5,46,2022-04-15,"shanghai",9987.95,"R0=5"
"8",164878,54,2022-04-23,"shanghai",55765.4,"R0=5"
"9",566885,60,2022-04-29,"shanghai",111421.6,"R0=5"
"10",29219.7,39,2022-04-08,"shanghai",15270.77,"R0=6"
"11",206417,46,2022-04-15,"shanghai",88030.3,"R0=6"
"12",694367,51,2022-04-20,"shanghai",154642,"R0=6"
"13",38014.5,31,2022-03-31,"shanghai",30417.92,"R0=8"
"14",228270,36,2022-04-05,"shanghai",144101.8,"R0=8"
"15",806223,40,2022-04-09,"shanghai",235877.4,"R0=8"
"16",26931.9,25,2022-03-25,"shanghai",31190.56,"R0=10"
"17",234357,30,2022-03-30,"shanghai",202407.5,"R0=10"
"18",752785,33,2022-04-02,"shanghai",318294,"R0=10"
"19",18206.1,21,2022-03-21,"shanghai",28680.01,"R0=12"
"20",135453,25,2022-03-25,"shanghai",175641.1,"R0=12"
"21",556415,28,2022-03-28,"shanghai",381896.6,"R0=12"
"22",11782.8,78,2022-04-18,"shenzhen",2274.88,"R0=3"
"23",83547.2,92,2022-05-02,"shenzhen",13957.63,"R0=3"
"24",271847,102,2022-05-12,"shenzhen",27302.4,"R0=3"
"25",17131,57,2022-03-28,"shenzhen",5271.35,"R0=4"
"26",122609,67,2022-04-07,"shenzhen",31480.6,"R0=4"
"27",392761,74,2022-04-14,"shenzhen",55838,"R0=4"
"28",20419,46,2022-03-17,"shenzhen",8820.66,"R0=5"
"29",147492,54,2022-03-25,"shenzhen",51595.5,"R0=5"
"30",429149,59,2022-03-30,"shenzhen",86799.4,"R0=5"
"31",15976.3,38,2022-03-09,"shenzhen",9155.58,"R0=6"
"32",126568,45,2022-03-16,"shenzhen",60203.6,"R0=6"
"33",465195,50,2022-03-21,"shenzhen",117784.9,"R0=6"
"34",25373.7,31,2022-03-02,"shenzhen",22052.54,"R0=8"
"35",164948,36,2022-03-07,"shenzhen",110242.3,"R0=8"
"36",453257,39,2022-03-10,"shenzhen",175725.4,"R0=8"
"37",24909.7,26,2022-02-25,"shenzhen",30597.31,"R0=10"
"38",149356,30,2022-03-01,"shenzhen",139957.8,"R0=10"
"39",504233,33,2022-03-04,"shenzhen",230430.5,"R0=10"
"40",16960,22,2022-02-21,"shenzhen",28450.04,"R0=12"
"41",133325,26,2022-02-25,"shenzhen",166115.4,"R0=12"
"42",542780,29,2022-02-28,"shenzhen",276176.4,"R0=12"
"43",7348.23,63,2022-05-11,"nanjing",1436.219,"R0=3"
"44",46081.6,76,2022-05-24,"nanjing",7785.37,"R0=3"
"45",150881,86,2022-06-03,"nanjing",14926.5,"R0=3"
"46",9799.51,46,2022-04-24,"nanjing",3053.088,"R0=4"
"47",58874,55,2022-05-03,"nanjing",15683.1,"R0=4"
"48",195927,62,2022-05-10,"nanjing",30349.5,"R0=4"
"49",10914.6,37,2022-04-15,"nanjing",4780.7,"R0=5"
"50",80185.5,45,2022-04-23,"nanjing",28300.6,"R0=5"
"51",234600,50,2022-04-28,"nanjing",46934.2,"R0=5"
"52",13795.1,32,2022-04-10,"nanjing",7884.06,"R0=6"
"53",81120,38,2022-04-16,"nanjing",37421.9,"R0=6"
"54",231099,42,2022-04-20,"nanjing",63235.9,"R0=6"
"55",13324.4,25,2022-04-03,"nanjing",11759.03,"R0=8"
"56",87932.8,30,2022-04-08,"nanjing",59539.44,"R0=8"
"57",243510,33,2022-04-11,"nanjing",94648.5,"R0=8"
"58",13241.5,21,2022-03-30,"nanjing",16502.67,"R0=10"
"59",80375.9,25,2022-04-03,"nanjing",76013.62,"R0=10"
"60",273144,28,2022-04-06,"nanjing",123519,"R0=10"
"61",6432.04,17,2022-03-26,"nanjing",11097.392,"R0=12"
"62",51870.7,21,2022-03-30,"nanjing",71509.16,"R0=12"
"63",223003,24,2022-04-02,"nanjing",148164.2,"R0=12"
"64",9869.08,73,2022-04-23,"suzhou",2035.574,"R0=3"
"65",66830.9,86,2022-05-06,"suzhou",11873.23,"R0=3"
"66",205963,95,2022-05-15,"suzhou",22634.7,"R0=3"
"67",14756.3,54,2022-04-04,"suzhou",4811.43,"R0=4"
"68",93480.4,63,2022-04-13,"suzhou",25476.82,"R0=4"
"69",270696,69,2022-04-19,"suzhou",45000.9,"R0=4"
"70",14278,43,2022-03-24,"suzhou",6563.45,"R0=5"
"71",111672,51,2022-04-01,"suzhou",41310.6,"R0=5"
"72",337782,56,2022-04-06,"suzhou",68854.8,"R0=5"
"73",17283.7,37,2022-03-18,"suzhou",10387.36,"R0=6"
"74",107325,43,2022-03-24,"suzhou",52474.9,"R0=6"
"75",317732,47,2022-03-28,"suzhou",91962.8,"R0=6"
"76",16842.6,29,2022-03-10,"suzhou",15680.79,"R0=8"
"77",117288,34,2022-03-15,"suzhou",84166.9,"R0=8"
"78",335740,37,2022-03-18,"suzhou",136795.5,"R0=8"
"79",13676.2,24,2022-03-05,"suzhou",18163.4,"R0=10"
"80",87678.5,28,2022-03-09,"suzhou",92906.1,"R0=10"
"81",317661,31,2022-03-12,"suzhou",175975.4,"R0=10"
"82",7845.44,20,2022-03-01,"suzhou",14289.132,"R0=12"
"83",66420.8,24,2022-03-05,"suzhou",97619.14,"R0=12"
"84",297554,27,2022-03-08,"suzhou",210836,"R0=12"
