,time,case,t,name,area,type,tat,xat,label,yat
1,2022/3/16,2.29E-05,7,nanjing,5.05E-05,R0=3,7,5,Colonization,0.5
2,2022/3/16,2.55E-05,7,nanjing,5.00E-05,R0=4,7,5,Colonization,0.5
3,2022/3/16,3.08E-05,7,nanjing,5.43E-05,R0=5,7,5,Colonization,0.5
4,2022/3/16,3.80E-05,7,nanjing,6.05E-05,R0=6,7,5,Colonization,0.5
5,2022/3/16,5.75E-05,7,nanjing,7.65E-05,R0=8,7,5,Colonization,0.5
6,2022/3/16,8.60E-05,7,nanjing,9.77E-05,R0=10,7,5,Colonization,0.5
7,2022/3/16,0.000125868,7,nanjing,0.000124147,R0=12,7,5,Colonization,0.5
8,2022/3/26,0.025037084,17,nanjing,0.028544365,R0=12,17,17,Establishment,1.5
9,2022/3/30,0.056040748,21,nanjing,0.077904659,R0=10,21,19,Establishment,1.5
10,2022/3/30,0.201909669,21,nanjing,0.235307197,R0=12,21,24,Spread,2
11,2022/4/2,0.868051945,24,nanjing,1.105181248,R0=12,NA,30,Outbreak,3
12,2022/4/3,0.06366638,25,nanjing,0.112691679,R0=8,25,20,Establishment,1.5
13,2022/4/3,0.340167322,25,nanjing,0.489155087,R0=10,25,28,Spread,2
14,2022/4/6,1.156001524,28,nanjing,1.855150181,R0=10,NA,35,Outbreak,3
15,2022/4/8,0.420158739,30,nanjing,0.77464037,R0=8,30,32,Spread,2
16,2022/4/10,0.080126469,32,nanjing,0.195407902,R0=6,32,25,Establishment,1.5
17,2022/4/11,1.163534592,33,nanjing,2.362318941,R0=8,NA,40,Outbreak,3
18,2022/4/15,0.073432739,37,nanjing,0.221189488,R0=5,37,25,Establishment,1.5
19,2022/4/16,0.471171585,38,nanjing,1.198680726,R0=6,38,38,Spread,2
20,2022/4/20,1.342298843,42,nanjing,3.811117775,R0=6,NA,50,Outbreak,3
21,2022/4/23,0.539482976,45,nanjing,1.706790393,R0=5,45,45,Spread,2
22,2022/4/24,0.081723041,46,nanjing,0.324462439,R0=4,46,35,Establishment,1.5
23,2022/4/28,1.578373973,50,nanjing,5.703992204,R0=5,NA,55,Outbreak,3
24,2022/5/3,0.49097989,55,nanjing,2.032024389,R0=4,55,55,Spread,2
25,2022/5/10,1.633933772,62,nanjing,7.801467996,R0=4,NA,80,Outbreak,3
26,2022/5/11,0.088835464,63,nanjing,0.524816183,R0=3,63,35,Establishment,1.5
27,2022/5/24,0.557097469,76,nanjing,3.446491296,R0=3,76,72,Spread,2
28,2022/6/3,1.824056091,86,nanjing,13.25265062,R0=3,NA,94,Outbreak,3
29,2022/3/10,0,1,nanjing,NA,R0=3,NA,NA,NA,NA
30,2022/3/11,4.03E-06,2,nanjing,NA,R0=3,NA,NA,NA,NA
31,2022/3/12,8.46E-06,3,nanjing,2.01E-06,R0=3,NA,NA,NA,NA
32,2022/3/13,1.24E-05,4,nanjing,8.26E-06,R0=3,NA,NA,NA,NA
33,2022/3/14,1.59E-05,5,nanjing,1.87E-05,R0=3,NA,NA,NA,NA
34,2022/3/15,1.94E-05,6,nanjing,3.28E-05,R0=3,NA,NA,NA,NA
35,2022/3/17,2.68E-05,8,nanjing,7.16E-05,R0=3,NA,NA,NA,NA
36,2022/3/18,3.12E-05,9,nanjing,9.65E-05,R0=3,NA,NA,NA,NA
37,2022/3/19,3.62E-05,10,nanjing,0.000125493,R0=3,NA,NA,NA,NA
38,2022/3/20,4.20E-05,11,nanjing,0.000159216,R0=3,NA,NA,NA,NA
39,2022/3/21,4.87E-05,12,nanjing,0.000198351,R0=3,NA,NA,NA,NA
40,2022/3/22,5.65E-05,13,nanjing,0.000243732,R0=3,NA,NA,NA,NA
41,2022/3/23,6.55E-05,14,nanjing,0.000296339,R0=3,NA,NA,NA,NA
42,2022/3/24,7.59E-05,15,nanjing,0.000357314,R0=3,NA,NA,NA,NA
43,2022/3/25,8.79E-05,16,nanjing,0.000427982,R0=3,NA,NA,NA,NA
44,2022/3/26,0.000101907,17,nanjing,0.000509884,R0=3,NA,NA,NA,NA
45,2022/3/27,0.000118103,18,nanjing,0.000604804,R0=3,NA,NA,NA,NA
46,2022/3/28,0.000136873,19,nanjing,0.000714809,R0=3,NA,NA,NA,NA
47,2022/3/29,0.000158626,20,nanjing,0.000842297,R0=3,NA,NA,NA,NA
48,2022/3/30,0.000183836,21,nanjing,0.000990046,R0=3,NA,NA,NA,NA
49,2022/3/31,0.000213052,22,nanjing,0.001161277,R0=3,NA,NA,NA,NA
50,2022/4/1,0.000246911,23,nanjing,0.001359721,R0=3,NA,NA,NA,NA
51,2022/4/2,0.000286152,24,nanjing,0.001589703,R0=3,NA,NA,NA,NA
52,2022/4/3,0.000331627,25,nanjing,0.001856234,R0=3,NA,NA,NA,NA
53,2022/4/4,0.00038433,26,nanjing,0.002165123,R0=3,NA,NA,NA,NA
54,2022/4/5,0.000445407,27,nanjing,0.002523102,R0=3,NA,NA,NA,NA
55,2022/4/6,0.000516191,28,nanjing,0.00293797,R0=3,NA,NA,NA,NA
56,2022/4/7,0.000598221,29,nanjing,0.003418769,R0=3,NA,NA,NA,NA
57,2022/4/8,0.000693285,30,nanjing,0.003975975,R0=3,NA,NA,NA,NA
58,2022/4/9,0.000803456,31,nanjing,0.004621728,R0=3,NA,NA,NA,NA
