,time,case,t,name,area,type,tat,xat,label,yat
1,2022/3/6,3.66E-06,6,shanghai,7.02E-06,R0=3,6,4,Colonization,0.5
2,2022/3/6,3.77E-06,6,shanghai,6.56E-06,R0=4,6,4,Colonization,0.5
3,2022/3/6,4.29E-06,6,shanghai,6.81E-06,R0=5,6,4,Colonization,0.5
4,2022/3/6,5.05E-06,6,shanghai,7.36E-06,R0=6,6,4,Colonization,0.5
5,2022/3/6,7.08E-06,6,shanghai,8.85E-06,R0=8,6,4,Colonization,0.5
6,2022/3/6,1.00E-05,6,shanghai,1.08E-05,R0=10,6,4,Colonization,0.5
7,2022/3/6,1.37E-05,6,shanghai,1.31E-05,R0=12,6,4,Colonization,0.5
8,2022/3/21,0.028256907,21,shanghai,0.034193277,R0=12,21,21,Establishment,1.5
9,2022/3/25,0.045885201,25,shanghai,0.067677779,R0=10,25,20,Establishment,1.5
10,2022/3/25,0.210230788,25,shanghai,0.259445417,R0=12,25,25,Spread,2
11,2022/3/28,0.863587843,28,shanghai,1.150723744,R0=12,NA,40,Outbreak,3
12,2022/3/30,0.399285534,30,shanghai,0.611475484,R0=10,30,30,Spread,2
13,2022/3/31,0.073850122,31,shanghai,0.140232094,R0=8,31,25,Establishment,1.5
14,2022/4/2,1.282556786,33,shanghai,2.187923031,R0=10,NA,40,Outbreak,3
15,2022/4/5,0.443456241,36,shanghai,0.874842991,R0=8,36,36,Spread,2
16,2022/4/8,0.069746043,39,shanghai,0.183191418,R0=6,39,25,Establishment,1.5
17,2022/4/9,1.566235692,40,shanghai,3.549454111,R0=8,NA,50,Outbreak,3
18,2022/4/15,0.070440164,46,shanghai,0.230308231,R0=5,46,25,Establishment,1.5
19,2022/4/15,0.492707627,46,shanghai,1.349538766,R0=6,46,46,Spread,2
20,2022/4/20,1.657421226,51,shanghai,5.225001231,R0=6,NA,60,Outbreak,3
21,2022/4/23,0.461029845,54,shanghai,1.565204911,R0=5,54,54,Spread,2
22,2022/4/28,0.095909824,59,shanghai,0.418672927,R0=4,59,25,Establishment,1.5
23,2022/4/29,1.585116897,60,shanghai,6.134040092,R0=5,NA,70,Outbreak,3
24,2022/5/8,0.598662844,69,shanghai,2.741692486,R0=4,69,69,Spread,2
25,2022/5/15,1.784381615,76,shanghai,9.417270042,R0=4,NA,89,Outbreak,3
26,2022/5/21,0.091898545,82,shanghai,0.610008863,R0=3,82,45,Establishment,1.5
27,2022/6/5,0.619957294,97,shanghai,4.32208782,R0=3,97,90,Spread,2
28,2022/6/16,1.981809122,108,shanghai,16.32096833,R0=3,NA,108,Outbreak,3
29,2022/3/1,0,1,shanghai,NA,R0=3,NA,NA,NA,NA
30,2022/3/2,1.07E-06,2,shanghai,NA,R0=3,NA,NA,NA,NA
31,2022/3/3,1.88E-06,3,shanghai,5.34E-07,R0=3,NA,NA,NA,NA
32,2022/3/4,2.53E-06,4,shanghai,2.01E-06,R0=3,NA,NA,NA,NA
33,2022/3/5,3.10E-06,5,shanghai,4.21E-06,R0=3,NA,NA,NA,NA
34,2022/3/7,4.24E-06,7,shanghai,1.04E-05,R0=3,NA,NA,NA,NA
35,2022/3/8,4.88E-06,8,shanghai,1.44E-05,R0=3,NA,NA,NA,NA
36,2022/3/9,5.60E-06,9,shanghai,1.89E-05,R0=3,NA,NA,NA,NA
37,2022/3/10,6.40E-06,10,shanghai,2.42E-05,R0=3,NA,NA,NA,NA
38,2022/3/11,7.32E-06,11,shanghai,3.02E-05,R0=3,NA,NA,NA,NA
39,2022/3/12,8.36E-06,12,shanghai,3.70E-05,R0=3,NA,NA,NA,NA
